,Latitude,Longitude
3737,39.299444,-84.375556
3738,42.481389,-79.283889
3739,45.807778,-108.542777
3740,26.779445,-80.6925
3741,39.308889,-78.325
3742,35.219167,-106.450833
3743,38.060278,-117.087222
3744,34.791944,-79.365833
3745,41.690277,-72.86
3746,41.3075,-105.671111
3747,40.1,-104.701111
3748,34.281667,-86.853611
3749,44.369445,-92.835
3750,33.127223,-117.299444
3751,36.088055,-78.368611
3752,62.952778,-141.928889
3753,33.974445,-117.636389
3754,45.7,-108.761944
3755,40.119444,-105.055556
3756,42.195277,-89.097222
3757,44.912222,-115.485555
3758,34.452778,-110.114722
3759,29.506667,-81.34
3760,37.201389,-84.593611
3761,42.703056,-87.958889
3762,41.627778,-74.133611
3763,38.881945,-83.882778
3764,34.085277,-117.145555
3765,46.801667,-100.679167
3766,35.766667,-115.328334
3767,33.459167,-105.453333
3768,39.145833,-86.616667
3769,40.466667,-11.416667
3770,27.976667,-82.758611
3771,30.519723,-86.438333
3772,26.246944,-80.110833
3773,35.182778,-103.603056
3774,36.433611,-82.102778
3775,35.685555,-101.375278
3776,34.091666,-117.781667
3777,34.273889,-83.833889
3778,48.493333,-122.455
3779,39.990277,-75.581945
3780,32.1575,-81.391389
3781,41.210278,-81.251667
3782,35.034444,-85.202222
3783,26.197222,-80.170556
3784,40.561944,-81.0775
3785,42.556944,-92.400278
3786,36.691666,-76.900278
3787,41.344166,-82.1775
3788,34.017223,-81.333056
3789,17.742777,-64.902222
3790,35.985833,-96.000278
3791,34.213889,-119.094444
3792,37.550555,-112.216667
3793,32.836389,-97.363056
3794,25.904167,-80.273611
3795,33.978056,-117.660278
3796,35.754167,-115.266667
3797,32.786666,-115.721667
3798,33.128056,-117.113333
3799,36.603889,-117.159167
3800,39.675556,-75.612222
3801,38.624723,-77.753056
3802,45.113889,-113.884722
3803,38.1125,-113.001111
3804,40.121667,-76.295833
3805,39.736389,-89.804444
6184,32.784444,-88.926111
6187,32,-115
6193,35.616667,-119.35
6196,37.486389,-120.350556
6202,33.963611,-112.1425
6226,37.894444,-121.238611
6229,39.566667,-117.815556
6237,35.438055,-83.060556
6251,29.4325,-94.543055
6252,32.758056,-98.089166
6254,61.082778,-150.951944
6256,35.921389,-119.303889
6261,42.96,-76.826667
6264,42.558333,-106.861944
6266,30.204722,-85.823889
6267,32.25,-110.1
6268,29.433333,-92.5
6269,32.733611,-117.193889
6272,64.333611,-148.850278
6273,36.662778,-121.606389
6274,33.95,-117.45
6282,39.184722,-76.6775
6284,29.670834,-92.918334
6285,36.1525,-119.183611
6289,48.315278,-115.986666
6291,35.761111,-83.674445
6294,19.640555,-152.034722
6295,61.168611,-150.087777
6296,29.296111,-92.88
6298,27.952778,-81.802222
6299,36.158889,-81.1125
6302,34.146111,-97.1225
6305,33.333333,-79.983333
6308,28.99,-80.990277
6309,36.116111,-96.025834
6310,28.752778,-91.406111
6312,39.795277,-121.858611
6313,39.213333,-106.19
6314,26.920278,-81.990555
6315,32.846944,-96.851667
6316,40.7575,-74.015
6317,26.744166,-81.433056
6318,40.974167,-74.999722
6319,29.524445,-95.775278
6320,40.019445,-111.614167
6321,34.119167,-87.985833
6323,26.1075,-80.105
6325,18.008056,-66.563056
6326,29.467223,-81.206389
6328,40.079723,-83.073056
6329,40.667778,-106.0525
6330,35.516667,-93.1
6332,30.033333,-93.27
6333,26.744166,-81.433056
6334,46.881111,-121.771389
6335,36.825834,-104.908333
6336,28.201389,-95.634722
6338,33.883333,-118.233333
6339,61.598055,-149.659722
6340,27.31,-81.111667
6341,30.066111,-91.797222
6342,45.885,-123.603333
6343,42.34,-76.548333
6344,28.718056,-91.438611
6345,28.8,-92.95
6347,34.686389,-81.641666
6348,45.622223,-113.504722
6349,33.45,-116.1
6350,38.1525,-106.391666
6351,38.452778,-105.284444
6352,35.5375,-115.416945
6353,44.853889,-98.040277
6354,36.2,-115.183333
6355,35.081667,-90.301944
6356,26.441944,-98.129445
6357,33.325,-84.298055
6358,38.722778,-120.601667
6359,36.633333,-85.15
6360,35.9475,-114.952778
6361,46.123889,-122.440277
6362,37.790277,-114.425
6363,39.086111,-78.766667
6364,28.266667,-94.05
6365,43.45,-111.933333
6366,32.376111,-99.17
6367,29.417778,-89.135277
6368,29.79,-93.183889
6369,36.878334,-91.903333
6370,27.853056,-96.694722
6371,28.35,-93.966667
6372,30.6525,-98.473889
6373,42.633333,-83.625
6374,42.776389,-74.036389
6375,29.566389,-90.660278
6376,38.039166,-84.608889
6377,31.306389,-94.118056
6379,33.116667,-115.666667
6380,32.007778,-97.017223
6382,29.686666,-91.171667
6383,31.501944,-97.080834
6384,30.533056,-91.149444
6385,20.57,-156.633333
6387,30.819445,-90.1125
6388,31.966667,-96.866667
6389,36.029723,-119.062778
6390,46.397777,-94.137222
6391,43.456389,-82.839722
6392,41.54,-87.532223
6393,36.666945,-121.760278
6394,61.581667,-159.543055
6395,44.323611,-93.791666
6396,36.131667,-119.215
6397,22.070278,-159.495
6398,33.885833,-109.675278
6399,40.146111,-74.434444
6400,26.586666,-91.863333
6401,37.325834,-120.525834
6402,28.425,-91.45
6403,30.732223,-99.184444
6404,36.116667,-90.75
6405,33.974723,-117.636666
6406,33.75,-118.15
6407,31.416111,-93.172223
6408,43.001667,-118.585555
6409,28.441111,-95.248611
6410,36.328889,-121.221389
6412,28.418334,-93.019167
6413,44.0625,-123.8
6414,41.989444,-88.101389
6415,38.556389,-121.283333
6416,39.646666,-121.799722
6417,27.769723,-82.285555
6418,45.072223,-88.058611
6419,44.833333,-123.233333
6420,41.7425,-71.452222
6421,35.298889,-93.681667
6422,28.000278,-93.918889
6423,27.910556,-82.687222
6424,38.196666,-83.166667
6425,31.883333,-93.733333
6426,44.838889,-122.916667
6427,29.709444,-91.338611
6428,33.613333,-113.623889
6429,40.053333,-106.368334
6430,33.250278,-97.580556
6431,33.363889,-84.165
6432,29.5,-93.416667
6433,31.398889,-103.125556
6434,35.35,-119
6435,38.144166,-87.313056
6436,32.8,-97.166945
6437,69.466667,-149.783333
6438,35.409722,-118.976389
6439,34.588889,-118.004722
6440,47.266667,-122.145277
6441,29.432778,-98.492222
6442,40.306389,-121.230834
6443,46.179445,-119.800556
6444,86.947222,-33.663889
6445,42.224723,-122.966667
6447,33.460833,-111.728334
6448,29.755556,-92.079723
6449,36.05,-98.750278
6450,27.016945,-81.451111
6451,34.416945,-81.7
6452,44.851667,-115.965278
6453,29.633611,-93.307778
6454,29.588889,-92.926389
6455,37.745,-111.570278
6456,40.836666,-121.100556
6457,29.669167,-95.05
6458,29.639445,-81.226945
6459,31.294444,-97.296944
6460,47.65,-121.041666
6461,40.155,-85.316667
6462,20.898611,-156.430556
6463,47.788889,-117.349444
6464,40.4525,-117.491944
6465,42.439722,-108.643611
6466,30.211944,-85.682778
6467,34.230556,-94.059722
6468,29.950833,-94.020556
6470,21.996666,-159.498333
6471,33.166667,-88.8
6472,38.508889,-122.812778
6473,33.033333,-87.933333
6474,37.081667,-121.596944
6475,28.483333,-90.316667
6478,29.707222,-91.333333
6480,28.733333,-91.208333
6481,30.061667,-95.552778
6482,40.125,-76.3
6483,30.825278,-85.800278
6484,29.783333,-93.3
6485,36.324723,-94.579445
6486,31.751111,-94.000556
6487,29.166667,-90.333333
6488,64.6,-162.266667
6490,30.243055,-98.909167
6491,26.2425,-80.352778
6492,35.433333,-83.316667
6493,35.983333,-113.766667
6494,30.673889,-97.674167
6495,40.263889,-103.649444
6496,29.984166,-95.341389
6497,45.230556,-96.566111
