,Day,Month,Year,Make,Aircraft.damage,Aircraft.Category,Number.of.Engines,Engine.Type,Weather.Condition,Broad.phase.of.flight,Fatal,Injured,Uninjured,Fatal.Cat,Fatal.Count,Latitude,Longitude,Fatal Ratio
28,4,3,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Maneuvering,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
29,5,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
30,5,3,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
32,9,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Maneuvering,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
33,11,3,1982,BEECH,Minor,Airplane,2,Reciprocating,IMC,Taxi,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
34,11,3,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
35,12,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
36,12,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
37,13,3,1982,BEECH,Substantial,Airplane,2,Turbo Prop,VMC,Landing,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
38,14,3,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Climb,1.0,0.0,0.0,Fatal,1,0.0,0.0,100.0
39,14,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,1.0,1.0,Non-Fatal,0,0.0,0.0,0.0
40,16,3,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Cruise,1.0,0.0,0.0,Fatal,1,0.0,0.0,100.0
41,16,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,IMC,Landing,1.0,0.0,0.0,Fatal,1,30.757778,-88.355555,100.0
42,19,3,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Maneuvering,3.0,0.0,0.0,Fatal,3,0.0,0.0,100.0
43,20,3,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Taxi,0.0,0.0,3.0,Non-Fatal,0,0.0,0.0,0.0
44,23,3,1982,BEECH,Substantial,Airplane,2,Turbo Prop,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
45,25,3,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,1.0,3.0,Non-Fatal,0,0.0,0.0,0.0
46,26,3,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Cruise,6.0,0.0,0.0,Fatal,6,0.0,0.0,100.0
47,27,3,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
48,30,3,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Cruise,2.0,0.0,0.0,Fatal,2,0.0,0.0,100.0
49,2,4,1982,BEECH,Destroyed,Airplane,1,Reciprocating,IMC,Cruise,4.0,0.0,0.0,Fatal,4,0.0,0.0,100.0
50,3,4,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Takeoff,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
51,3,4,1982,BEECH,Destroyed,Airplane,1,Reciprocating,IMC,Cruise,2.0,0.0,0.0,Fatal,2,0.0,0.0,100.0
52,3,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
53,4,4,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Takeoff,3.0,1.0,0.0,Fatal,3,0.0,0.0,75.0
54,4,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
56,6,4,1982,BEECH,Destroyed,Airplane,2,Reciprocating,IMC,Climb,2.0,0.0,0.0,Fatal,2,0.0,0.0,100.0
57,7,4,1982,BEECH,Substantial,Airplane,2,Turbo Prop,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
58,8,4,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Cruise,0.0,0.0,9.0,Non-Fatal,0,0.0,0.0,0.0
59,16,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,1.0,0.0,Non-Fatal,0,0.0,0.0,0.0
60,17,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
61,17,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,1.0,1.0,Non-Fatal,0,0.0,0.0,0.0
62,18,4,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Standing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
63,18,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
64,21,4,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Maneuvering,1.0,0.0,0.0,Fatal,1,0.0,0.0,100.0
66,23,4,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Cruise,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
67,24,4,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Descent,1.0,0.0,0.0,Fatal,1,0.0,0.0,100.0
68,24,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
69,24,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
70,25,4,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Takeoff,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
71,25,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,4.0,0.0,Non-Fatal,0,0.0,0.0,0.0
72,26,4,1982,BEECH,Substantial,Airplane,2,Turbo Prop,IMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
73,27,4,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Takeoff,2.0,0.0,0.0,Fatal,2,0.0,0.0,100.0
74,28,4,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Climb,2.0,0.0,0.0,Fatal,2,0.0,0.0,100.0
75,28,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
76,29,4,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
77,1,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,2.0,1.0,Non-Fatal,0,0.0,0.0,0.0
78,1,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
79,2,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
80,2,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,1.0,2.0,Non-Fatal,0,0.0,0.0,0.0
81,2,5,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,5.0,Non-Fatal,0,0.0,0.0,0.0
82,5,5,1982,BEECH,Destroyed,Airplane,2,Turbo Prop,VMC,Cruise,7.0,0.0,0.0,Fatal,7,0.0,0.0,100.0
83,8,5,1982,BEECH,Destroyed,Airplane,1,Reciprocating,IMC,Descent,1.0,0.0,0.0,Fatal,1,0.0,0.0,100.0
84,9,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Descent,0.0,5.0,0.0,Non-Fatal,0,0.0,0.0,0.0
85,9,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,0.0,5.0,Non-Fatal,0,0.0,0.0,0.0
86,10,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
87,11,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Taxi,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
88,15,5,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Cruise,0.0,2.0,0.0,Non-Fatal,0,0.0,0.0,0.0
89,15,5,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Cruise,4.0,0.0,0.0,Fatal,4,0.0,0.0,100.0
90,16,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,1.0,0.0,Non-Fatal,0,0.0,0.0,0.0
91,17,5,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Cruise,4.0,0.0,0.0,Fatal,4,0.0,0.0,100.0
92,18,5,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Landing,0.0,1.0,0.0,Non-Fatal,0,0.0,0.0,0.0
93,22,5,1982,BEECH,Destroyed,Airplane,1,Reciprocating,IMC,Cruise,3.0,0.0,0.0,Fatal,3,0.0,0.0,100.0
94,22,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
95,23,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
96,25,5,1982,BEECH,Substantial,Airplane,2,Reciprocating,IMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
97,26,5,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
98,28,5,1982,BEECH,Destroyed,Airplane,2,Reciprocating,IMC,Go-around,5.0,0.0,0.0,Fatal,5,0.0,0.0,100.0
99,31,5,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
100,3,6,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Climb,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
101,4,6,1982,BEECH,Substantial,Airplane,2,Turbo Prop,VMC,Takeoff,0.0,0.0,3.0,Non-Fatal,0,0.0,0.0,0.0
102,6,6,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
103,6,6,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
104,7,6,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Takeoff,0.0,0.0,3.0,Non-Fatal,0,0.0,0.0,0.0
105,8,6,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
106,11,6,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Go-around,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
107,12,6,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,3.0,0.0,Non-Fatal,0,0.0,0.0,0.0
108,13,6,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Landing,0.0,4.0,0.0,Non-Fatal,0,0.0,0.0,0.0
109,14,6,1982,BEECH,Substantial,,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
110,15,6,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Descent,0.0,1.0,0.0,Non-Fatal,0,0.0,0.0,0.0
111,17,6,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Landing,0.0,1.0,0.0,Non-Fatal,0,0.0,0.0,0.0
112,18,6,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Takeoff,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
113,18,6,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
114,19,6,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
115,21,6,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Descent,0.0,2.0,0.0,Non-Fatal,0,0.0,0.0,0.0
116,24,6,1982,BEECH,Destroyed,Airplane,1,Reciprocating,IMC,Maneuvering,6.0,0.0,0.0,Fatal,6,0.0,0.0,100.0
117,25,6,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
118,26,6,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Cruise,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
119,28,6,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Descent,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
120,30,6,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,1.0,0.0,Non-Fatal,0,0.0,0.0,0.0
121,2,7,1982,BEECH,Destroyed,Airplane,1,Reciprocating,IMC,Cruise,2.0,0.0,0.0,Fatal,2,0.0,0.0,100.0
122,3,7,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
123,5,7,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Takeoff,0.0,1.0,0.0,Non-Fatal,0,0.0,0.0,0.0
124,5,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,2.0,0.0,Non-Fatal,0,0.0,0.0,0.0
125,5,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
126,7,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Taxi,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
127,9,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
128,10,7,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Landing,0.0,3.0,0.0,Non-Fatal,0,0.0,0.0,0.0
129,13,7,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,1.0,0.0,Non-Fatal,0,0.0,0.0,0.0
130,13,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
131,15,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,3.0,Non-Fatal,0,0.0,0.0,0.0
132,15,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Approach,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
133,17,7,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
134,18,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
135,18,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
136,18,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
137,18,7,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Takeoff,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
138,18,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Taxi,0.0,0.0,6.0,Non-Fatal,0,0.0,0.0,0.0
139,18,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,3.0,Non-Fatal,0,0.0,0.0,0.0
140,20,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Taxi,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
141,21,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
142,24,7,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Takeoff,2.0,0.0,0.0,Fatal,2,0.0,0.0,100.0
143,24,7,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Takeoff,0.0,1.0,0.0,Non-Fatal,0,0.0,0.0,0.0
144,25,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,3.0,Non-Fatal,0,0.0,0.0,0.0
145,28,7,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,3.0,Non-Fatal,0,0.0,0.0,0.0
146,28,7,1982,BEECH,Substantial,Airplane,2,Turbo Prop,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
147,29,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
148,30,7,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Maneuvering,1.0,0.0,0.0,Fatal,1,0.0,0.0,100.0
149,31,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Go-around,1.0,2.0,0.0,Fatal,1,0.0,0.0,33.33333333333333
150,31,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,3.0,Non-Fatal,0,0.0,0.0,0.0
151,31,7,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
152,1,8,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,1.0,0.0,Non-Fatal,0,0.0,0.0,0.0
153,4,8,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Takeoff,2.0,1.0,0.0,Fatal,2,0.0,0.0,66.66666666666666
154,4,8,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
155,5,8,1982,BEECH,Substantial,Airplane,2,Turbo Prop,VMC,Landing,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
156,6,8,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
157,6,8,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
158,10,8,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Approach,0.0,1.0,0.0,Non-Fatal,0,0.0,0.0,0.0
159,12,8,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Takeoff,2.0,0.0,0.0,Fatal,2,0.0,0.0,100.0
160,12,8,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
161,12,8,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
162,12,8,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,5.0,Non-Fatal,0,0.0,0.0,0.0
163,13,8,1982,BEECH,Destroyed,Airplane,2,Reciprocating,VMC,Cruise,0.0,2.0,0.0,Non-Fatal,0,0.0,0.0,0.0
164,13,8,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,2.0,0.0,Non-Fatal,0,0.0,0.0,0.0
165,15,8,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Approach,3.0,0.0,0.0,Fatal,3,0.0,0.0,100.0
166,15,8,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
167,17,8,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
168,20,8,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
169,21,8,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
170,29,8,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,3.0,Non-Fatal,0,0.0,0.0,0.0
171,30,8,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
172,30,8,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
173,30,8,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Takeoff,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
174,1,9,1982,BEECH,Minor,Airplane,2,Reciprocating,VMC,Approach,0.0,0.0,2.0,Non-Fatal,0,0.0,0.0,0.0
175,2,9,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
176,3,9,1982,BEECH,Substantial,Airplane,2,Reciprocating,VMC,Landing,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
177,3,9,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,3.0,Non-Fatal,0,0.0,0.0,0.0
178,5,9,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,4.0,0.0,Non-Fatal,0,0.0,0.0,0.0
179,6,9,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Takeoff,0.0,4.0,0.0,Non-Fatal,0,0.0,0.0,0.0
180,8,9,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Cruise,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
181,9,9,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,1.0,0.0,Non-Fatal,0,0.0,0.0,0.0
182,11,9,1982,BEECH,Destroyed,Airplane,1,Reciprocating,VMC,Go-around,0.0,1.0,0.0,Non-Fatal,0,0.0,0.0,0.0
183,11,9,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Takeoff,0.0,0.0,1.0,Non-Fatal,0,0.0,0.0,0.0
184,12,9,1982,BEECH,Substantial,Airplane,1,Reciprocating,VMC,Landing,0.0,0.0,4.0,Non-Fatal,0,0.0,0.0,0.0
