,Make,Aircraft.damage,Number.of.Engines,Engine.Type,Weather.Condition,Broad.phase.of.flight
515,1,2,2,1,1,3
516,1,2,1,1,1,3
517,1,2,2,1,1,9
518,1,2,1,1,1,8
519,1,3,2,1,2,3
520,1,3,1,1,2,5
521,1,3,1,1,1,3
522,1,2,1,1,1,3
523,1,2,2,4,1,3
524,1,2,1,1,1,9
525,1,2,1,1,1,9
526,1,2,2,1,1,9
527,1,3,1,1,1,5
530,1,2,1,1,1,8
531,1,1,2,1,1,4
532,1,3,2,1,2,6
533,1,2,2,1,1,4
534,1,2,1,1,1,5
535,1,3,1,1,2,8
536,1,2,2,1,1,9
537,1,2,1,1,1,8
538,1,3,2,1,1,5
539,1,3,1,1,1,5
540,1,2,1,1,1,9
541,1,2,1,1,1,9
542,1,2,1,1,1,3
543,1,2,2,1,1,9
544,1,3,1,1,1,9
545,1,2,1,1,1,3
546,1,2,1,1,1,9
547,1,3,1,1,1,7
548,1,3,1,1,1,3
549,1,2,1,1,1,8
550,1,3,1,1,1,8
551,1,3,1,1,1,3
552,1,2,1,1,1,5
553,1,2,2,1,1,8
554,1,3,2,1,1,3
555,1,2,1,1,1,9
556,1,2,1,1,1,9
557,1,2,2,1,1,9
558,1,2,1,1,1,9
559,1,2,1,1,1,9
560,1,2,1,1,1,4
561,1,3,1,1,1,3
562,1,3,1,1,1,4
563,1,3,1,1,1,7
564,1,2,1,1,1,9
566,1,3,1,1,2,5
567,1,3,1,1,1,5
568,1,2,1,1,1,3
569,1,2,1,1,2,5
570,1,2,1,1,1,3
571,1,3,2,1,1,5
572,1,2,1,1,1,5
574,1,2,2,1,1,9
575,1,2,1,1,1,9
576,1,2,1,1,1,3
577,1,3,1,1,1,5
578,1,2,1,1,1,9
579,1,3,1,1,1,9
580,1,3,1,1,1,3
581,1,2,1,1,1,9
582,1,3,2,1,1,3
583,1,2,2,1,1,6
584,1,3,2,1,1,6
585,1,2,2,1,1,8
586,1,2,1,1,1,9
587,1,3,1,1,1,9
588,1,2,2,4,1,5
589,1,2,1,1,1,5
590,1,3,2,1,1,3
591,1,2,2,1,1,9
592,1,2,2,1,1,9
593,1,2,2,1,1,3
594,1,2,1,1,1,7
595,1,2,1,1,1,7
597,1,2,1,1,1,9
598,1,3,1,1,2,5
599,1,3,1,1,1,9
600,1,2,2,1,1,9
601,1,2,2,1,1,3
602,1,2,1,1,1,9
603,1,2,2,1,1,9
604,1,2,2,1,1,9
605,1,2,1,1,1,5
606,1,3,1,1,2,4
607,1,2,1,1,1,3
608,1,2,1,1,1,5
609,1,3,2,4,1,4
610,1,2,1,1,1,1
611,1,2,1,1,1,3
612,1,2,1,1,1,10
613,1,3,1,1,1,3
614,1,2,2,1,1,3
615,1,2,1,1,1,9
616,1,2,1,1,1,2
617,1,2,1,1,1,9
618,1,2,2,1,1,9
619,1,2,1,1,1,3
620,1,2,1,1,1,5
621,1,2,2,1,1,9
622,1,2,1,1,1,4
623,1,3,2,1,1,5
624,1,3,1,1,2,8
625,1,2,1,1,1,1
626,1,2,1,1,1,9
627,1,3,2,1,2,8
628,1,3,1,1,1,5
629,1,2,1,1,1,5
630,1,2,1,1,1,9
631,1,3,1,1,1,3
632,1,2,1,1,1,9
633,1,3,1,1,1,5
634,1,3,2,1,1,3
635,1,2,2,1,1,5
636,1,2,1,1,1,9
637,1,2,2,1,1,9
638,1,3,1,1,2,7
639,1,2,1,1,1,5
640,1,3,2,1,2,10
641,1,2,1,1,1,10
642,1,2,2,1,1,3
643,1,2,2,1,1,5
644,1,3,2,1,2,9
645,1,2,1,1,1,8
646,1,2,2,1,1,9
647,1,2,2,1,1,9
